InfoType1,InfoType2,Freq,PurchasingType,BuildingType,Category1,Category2,Category3,YYYYMMDD,AreaName,Values,UpdatedAt,UpdatedBy
부동산관련지수,경기종합지수,M,,,동행지수,,,2016-12-01,전국,123.2,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-01-01,전국,123.8,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-02-01,전국,124.1,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-03-01,전국,124.7,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-04-01,전국,125.1,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-05-01,전국,125.2,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-06-01,전국,125.3,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-07-01,전국,125.7,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-08-01,전국,126.1,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-09-01,전국,126.6,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-10-01,전국,126.3,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-11-01,전국,126.6,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,동행지수,,,2017-12-01,전국,126.6,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-02-01,전국,107.9,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-03-01,전국,108.3,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-04-01,전국,108.6,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-05-01,전국,109,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-06-01,전국,109.8,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-07-01,전국,110.4,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-08-01,전국,110.8,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-09-01,전국,110.9,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-10-01,전국,111.4,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-11-01,전국,111.9,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2013-12-01,전국,112.5,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-01-01,전국,112.9,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-02-01,전국,113.2,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-03-01,전국,113.4,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-04-01,전국,113.8,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-05-01,전국,114.1,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-06-01,전국,114.4,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-07-01,전국,114.6,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-08-01,전국,115.2,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-09-01,전국,115.8,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-10-01,전국,116.2,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-11-01,전국,116.5,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2014-12-01,전국,117,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-01-01,전국,117.7,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-02-01,전국,118.1,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-03-01,전국,118.7,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-04-01,전국,119.1,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-05-01,전국,119.8,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-06-01,전국,120.1,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-07-01,전국,120.5,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-08-01,전국,121,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-09-01,전국,121.6,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-10-01,전국,122,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-11-01,전국,122.4,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2015-12-01,전국,122.6,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-01-01,전국,122.7,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-02-01,전국,122.8,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-03-01,전국,123.1,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-04-01,전국,123.7,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-05-01,전국,124.2,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-06-01,전국,124.5,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-07-01,전국,125,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-08-01,전국,125.8,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-09-01,전국,126.5,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-10-01,전국,127,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-11-01,전국,127.5,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2016-12-01,전국,128.1,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2017-01-01,전국,128.6,"2018-03-03 00:00:00",jinsung
부동산관련지수,경기종합지수,M,,,선행지수,,,2017-02-01,전국,129.3,"2018-03-03 00:00:00",jinsung
