YYYYMM	서울특별시	부산광역시	대구광역시	인천광역시	광주광역시	대전광역시	울산광역시	경기도	강원도	충청북도	충청남도	전라북도	전라남도	경상북도	경상남도	제주특별자치도	세종특별자치시	전국
2003-06	53.38749405	60.81003066	54.73141573	63.50534371	53.21719784	59.82587625	56.42729569	51.43818159	59.64692357	52.53357027	53.387527	53.94726135	63.59577474	57.02840689	54.75459729	59.8033565	0	54.38559368
2003-07	52.89031652	60.38268337	54.20745766	63.44783406	53.45797494	59.09701603	55.87778383	51.03133984	59.65560105	52.01297509	53.40574794	54.37335521	63.86808466	56.95221624	54.77130068	60.26643965	0	54.11380624
2003-08	52.8044706	60.29604173	54.02695591	63.5137907	53.871438	59.06970763	55.49834807	50.90497272	59.95358266	51.58994893	54.23903641	54.10350976	63.82454441	56.77927982	54.92775735	60.44519317	0	54.07594014
2003-09	53.10959752	60.38123061	54.17543249	63.66988431	54.2751633	59.50699137	55.16275635	51.22711089	61.21730637	51.62463932	55.59156746	54.73791271	63.81046695	56.94896476	55.19223125	60.08463099	0	54.39003105
2003-10	53.16432335	60.65279847	54.31527751	63.70187261	54.86305756	59.81210436	55.13419318	51.34534865	62.07634192	51.83375958	55.44165207	54.8010602	63.56437679	56.98007618	55.52300922	60.66832867	0	54.54005077
2003-11	52.75389524	60.46868004	53.97303679	63.06517052	55.22649449	59.77241195	54.89709776	50.97473263	62.00213432	51.46252028	55.28450516	54.8971449	63.71843061	57.03195099	55.27297745	61.42539947	0	54.27463383
2003-12	52.25423807	59.87320769	53.07397232	62.16837407	55.04651584	59.56843187	54.3340286	50.43798016	61.64011838	50.87960418	54.34631878	54.93913724	63.86843269	56.97377026	54.88320151	61.35760564	0	53.77919208
2004-01	52.07382228	59.63353442	52.7980656	61.85980851	54.99974039	59.96772571	54.33885359	50.2734173	61.86507752	50.92317699	54.16295971	54.98536203	63.72686971	56.89410835	54.81065956	61.16887461	0	53.65096729
2004-02	52.35494062	59.65466979	52.90208925	62.16051954	55.19316766	60.84226437	54.88051638	50.47203181	62.8380293	51.45870638	55.33060934	55.39321447	63.73791494	57.28542789	54.8803454	61.88974312	0	53.93639955
2004-03	52.66410588	59.88399313	53.07960579	62.23661518	55.53704399	61.2095347	55.22270916	50.8464098	63.32747508	51.85173335	56.12630252	55.92299112	64.18561308	57.38428811	55.26532223	61.88974312	0	54.26023183
2004-04	52.70635908	60.05770086	53.2207131	62.29426916	55.71157847	61.43023603	55.38885353	50.96748088	63.29850308	52.28284804	56.19323493	56.13517434	64.35449211	57.62060443	55.34900043	62.01142931	0	54.38273891
2004-05	52.60193818	59.96577585	53.22803225	62.12159965	55.72506171	61.54047585	55.36831402	50.858094	63.6559952	52.57514927	56.07526277	56.44480035	64.39139286	57.67786314	55.49145149	61.97123892	0	54.35446672
2004-06	52.12547462	59.55843235	52.70471093	61.89887766	55.92813006	61.17812433	55.08746935	50.50079006	63.77466147	52.60249457	55.16420806	56.72571725	64.4750666	57.7445779	55.29886363	61.82707879	0	54.05793835
2004-07	51.76463366	59.01593001	52.17824739	61.58365824	55.98050296	60.88181837	54.84969264	49.99299913	63.8352296	52.63786713	54.22385532	56.77253139	64.41376412	57.80570318	55.15331468	61.76989485	0	53.71790826
2004-08	51.1936499	58.70731683	52.00529684	60.96475915	55.88058714	60.26992704	54.69426309	49.23378295	64.03739708	52.74153487	52.92113534	57.10521627	63.98917727	57.59858614	54.85174652	61.6263788	0	53.25980697
2004-09	50.94066174	58.54675831	52.10677855	60.30993333	56.19620515	59.99688302	54.86718108	48.94017679	64.29217511	52.78425324	51.68345036	57.42030326	63.87339193	57.4965384	54.80106288	61.68767633	0	53.0771809
2004-10	50.74841253	58.42800752	52.17609369	59.75166078	56.75154758	59.89767469	54.90007168	48.70281951	64.62368408	52.8416049	51.25879423	57.42488751	63.81828461	57.67598303	54.6763356	61.61929981	0	52.95617551
2004-11	50.39189252	58.04784161	52.35442147	59.12276221	57.08140157	58.99499135	54.71354658	48.15476036	64.62701167	52.69241114	50.81595859	57.5045659	63.65960052	57.73712029	54.71044801	61.64229707	0	52.65313559
2004-12	49.96095486	57.44183501	52.52681613	58.29604009	57.2490998	58.35616887	54.59520854	47.66031843	64.45511022	52.28820471	50.61364371	57.57277497	63.41950114	57.76942397	54.56741392	61.56011046	0	52.304247
2005-01	49.64477091	56.96160153	52.74905654	57.65228049	57.28863733	58.30679919	54.57622985	47.34642888	64.42603302	52.08287738	50.62894563	57.57205677	63.22188112	57.79348306	54.40633262	61.63936776	0	52.0784227
2005-02	49.75896909	56.754996	53.21262073	57.72367186	57.61107726	58.62965897	54.65110592	47.68779806	64.42227946	52.42102099	52.41851195	57.84628667	63.31881202	57.94954838	54.43304607	61.52728912	0	52.30456892
2005-03	49.89296574	56.57786317	53.58269891	58.39485966	57.82015411	59.17960893	54.77960472	48.28741622	64.71617217	52.67984641	53.92966954	58.30055758	63.1658997	58.40363207	54.64637453	61.50531402	0	52.65634201
2005-04	50.06908195	56.61431757	54.04268218	58.70831125	58.10872911	59.32779872	54.81561554	48.85069504	65.37461038	52.81933073	55.08074102	58.65820957	63.43135572	58.69922757	54.76405795	61.69653362	0	52.98365617
2005-05	50.110166	56.57614152	54.59964611	58.76157997	58.36334245	59.41194981	55.01937131	49.23369509	65.59419953	53.26427327	55.51119077	58.83683907	63.53452248	58.97812248	54.90403312	61.61380038	0	53.19620397
2005-06	50.31530653	56.37685515	54.96752566	58.70819659	58.52351996	59.43289725	55.13923744	49.75648674	65.47568143	53.31560681	55.65224572	58.93806857	63.6947752	59.37456065	54.88442855	61.61358619	0	53.40580627
2005-07	50.49073798	56.19181154	55.32906993	58.7134537	58.66037948	59.42957103	55.46213135	50.13066007	65.5296859	53.51681201	55.83522564	58.97991037	63.81119838	59.62688925	54.91135221	61.61358619	0	53.58405185
2005-08	50.82285604	56.09952806	55.66931638	58.60609694	58.87257087	59.41350623	55.71830844	50.53121734	65.70322401	53.66259377	55.95749809	59.34284423	63.8235045	59.74824946	54.92624534	61.62654417	0	53.80707448
2005-09	51.71162774	56.27161033	56.16642514	58.8397143	59.06473232	59.60979474	56.15757329	51.52954137	66.25375306	54.09583978	56.5281661	59.67572036	64.03146351	60.08873036	54.96672079	61.53502929	0	54.39595721
2005-10	52.48221319	56.61754854	57.14623918	58.89090238	59.29071527	59.7893262	56.24935507	52.30868058	66.58089094	54.37748415	56.74601353	60.33876265	64.03682895	60.51927001	55.08612884	61.60613351	0	54.92915283
2005-11	52.8200726	56.82553747	57.66308563	58.86666196	59.59661503	59.61858352	56.05453251	52.6412673	66.59855859	54.59567656	56.9390515	60.35285269	64.10377027	61.0083692	55.25261114	61.72491729	0	55.17027836
2005-12	53.03745868	56.83513734	58.1577279	58.92924894	59.77914552	59.61926939	56.14972222	52.73025132	66.69141709	54.87158225	56.82771372	60.58818731	64.20810728	61.03719667	55.3693475	61.67984745	0	55.30965631
